Partnername,Systemname,Partnertyp,Branche,Land,Webseite,Vertragsstatus,Vertragstyp,Vertragsbeginn,Vertragsende,Kündigungsfrist,Modul/Zweck,Schnittstelle,Format,API URL,Schnittstellenstatus,Anzahl_Kunden,Anzahl_Liegenschaften,Anzahl_NE,Nutzungsfrequenz,Störungen_90d,Score,Ansprechpartner_Name,Ansprechpartner_E-Mail,Telefon,Rolle,Landingpage,Webinar_Termine,Marketingkampagne,Produktflyer_URL,Präsentation_URL,Referenzprojekte,Schulungstypen,Schulungsunterlagen,Trainingsstatus,Developer_Portal_Zugang
Aareon AG,Blue Eagle,ERP,Wohnungswirtschaft,DE,https://aareon.de,Laufend,AVV,2023-01-01,,3 Monate,HKVO,ARGE 3.10,XML,,Aktiv,72,12340,103850,Wöchentlich,0,91,Max Mustermann,tech@aareon.com,089123456,Technik,https://aareon.de/partner,2025-07-02,Q3-Kampagne,https://aareon.de/flyer.pdf,https://aareon.de/praesentation.pptx,HK-Musterobjekt 2023,API-Onboarding,https://aareon.de/schulung.pdf,Abgeschlossen,Ja
Aareon AG,Wodis Yuneo,ERP,Wohnungswirtschaft,DE,https://aareon.de,Laufend,SLA,2022-05-01,,6 Monate,UVI,REST API,JSON,,Aktiv,58,8940,78120,Wöchentlich,2,89,Lena Schmidt,support@aareon.com,089987654,Support,https://aareon.de/wodis,2025-06-10,EED-Kampagne,,,,Vertrieb,,Offen,Ja
Hausbank München,VS3,ERP,Banken,DE,https://hausbank.de,Laufend,Lizenz,2021-01-01,,12 Monate,Rechnungsimport,CSV,CSV,,Aktiv,41,3210,28500,Monatlich,3,74,Tobias Reiter,it@hausbank.de,089111222,IT,https://hausbank.de/partner,,Q1-Refit,,,,,,Offen,Nein
DOMUS GmbH,DOMUS 1000,ERP,Hausverwaltung,DE,https://domussoftware.de,Laufend,AVV,2020-07-15,2025-12-31,6 Monate,Stammdatenabgleich,ARGE 2.1,XML,,Teilaktiv,12,1580,13200,Monatlich,5,63,Julia Weiss,support@domussoftware.de,089333444,Support,,,,,,,Technik,,Geplant,Nein
easysquare,Vermietung,Mieterportal,PropTech,DE,https://easysquare.com,Laufend,SLA,2022-02-01,,3 Monate,"Dokumente, UVI",REST,JSON,,Aktiv,29,2930,25600,Täglich,1,84,Michael Berg,integration@easysquare.com,,Integration,https://easysquare.com/api,,Pilot MUC,,,,,,Abgeschlossen,Ja
E-RechConnect,Connector,E-Rechnung,FinTech,DE,https://erechconnect.com,In Prüfung,Pilotvertrag,,,,E-Rechnung,ZUGFeRD 2.1,XML,,Geplant,7,860,6420,Selten,0,58,Anna Kaiser,kontakt@erechconnect.com,,Vertrieb,,,,,,,,,Offen,Nein
Kalorimeta,KM Core,Messdienst,Energie,DE,https://kalorimeta.de,Laufend,AVV,2023-03-01,,3 Monate,UVI,bved OnSiteRoles,XML,,Aktiv,19,2350,20900,Wöchentlich,0,82,Martin Löhr,martin.loehr@kalorimeta.de,,Technik,,,,,,,Schulung,,Abgeschlossen,Ja
Techem,Techem Portal,Messdienst,Energie,DE,https://techem.de,Laufend,SLA,2022-11-01,,3 Monate,HKVO,ARGE 3.0,XML,,Aktiv,35,4510,38800,Wöchentlich,1,86,Laura König,service@techem.de,,Technik,,,,,,,,,Abgeschlossen,Ja
NiuPort,NiuSync,Portal,PropTech,AT,https://niuport.io,Geplant,,,,,Schnittstellenbereitstellung,OpenAPI,JSON,,Geplant,0,0,0,n/a,0,0,Sebastian Krug,krug@niuport.io,,Geschäftsführer,,,,,,,,,Offen,Nein
SAP,S/4HANA RE-FX,ERP,Konzern,DE,https://sap.com,Laufend,AVV,2020-01-01,,12 Monate,"HKVO, Nebenkosten",REST + RFC,JSON,,Teilaktiv,105,20340,186000,Wöchentlich,2,90,Dirk Haller,sap-integration@sap.com,,Integration,,,GKV-Projekt,,,,,,Abgeschlossen,Ja
